"rules","support","confidence","coverage","lift","count"
"{citrus.fruit=soda} => {ready.soups=}",0.0305982347172279,0.850909090909091,0.035959463877084,1.5838693617445,468
"{semi.finished.bread=} => {margarine=}",0.227852239293887,1,0.227852239293887,2.50122649223222,3485
"{margarine=} => {semi.finished.bread=}",0.227852239293887,0.569910057236304,0.399803857469761,2.50122649223222,3485
"{semi.finished.bread=} => {ready.soups=}",0.227852239293887,1,0.227852239293887,1.86138493367409,3485
"{ready.soups=} => {semi.finished.bread=}",0.227852239293887,0.424120725325545,0.537234390323635,1.86138493367409,3485
"{margarine=} => {ready.soups=}",0.399803857469761,1,0.399803857469761,1.86138493367409,6115
"{ready.soups=} => {margarine=}",0.399803857469761,0.744188876718997,0.537234390323635,1.86138493367409,6115
"{semi.finished.bread=,margarine=} => {ready.soups=}",0.227852239293887,1,0.227852239293887,1.86138493367409,3485
"{semi.finished.bread=,ready.soups=} => {margarine=}",0.227852239293887,1,0.227852239293887,2.50122649223222,3485
"{margarine=,ready.soups=} => {semi.finished.bread=}",0.227852239293887,0.569910057236304,0.399803857469761,2.50122649223222,3485
